name,Bplaces,Btransitions,Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,trunk-Aplaces,trunk-Atransitions,trunk-Aarcs,trunk-unfoldingtime,size_ratio,unfolding_ratio
SharedMemory-COL-000020,6,5,16,481,840,3280,0.0027251562499999993,8.303125000000003e-05,481.0,840.0,3280.0,0.0024858125000000006,1.0,1.1296859678676485
TokenRing-COL-020,1,2,4,441,8421,33684,0.032343375,0.001376875,441.0,8421.0,33684.0,0.029707187500000006,1.0,1.1350872579236926
TokenRing-COL-100,1,2,4,10201,1010101,4040404,5.0672725000000005,0.00199303125,10201.0,1010101.0,4040404.0,4.435740000000001,1.0,1.1428229633048823
Referendum-COL-0050,4,3,6,151,101,251,0.00028234374999999993,2.68125e-05,151.0,101.0,251.0,0.00027049999999999996,1.0,1.1429066543438076
DatabaseWithMutex-COL-10,11,8,22,830,800,3800,0.0037998749999999994,0.00026575,830.0,800.0,3800.0,0.00354728125,1.0,1.1461242324667658
FamilyReunion-COL-L00020M0002C001P001G001,104,66,198,3271,2753,8446,0.009958093749999999,0.0005928750000000002,3292.0,2753.0,8446.0,0.009187125,0.9965260545905708,1.1484516374818017
CSRepetitions-COL-05,6,5,15,206,325,1175,0.0010549062499999999,6.631249999999999e-05,206.0,325.0,1175.0,0.0009602812499999999,1.0,1.1675941293240912
PermAdmissibility-COL-02,40,16,83,168,592,3456,0.0022955624999999994,0.0013481874999999996,208.0,1024.0,5984.0,0.00309365625,0.6168831168831169,1.1778134690950228
TokenRing-COL-015,1,2,4,256,3616,14464,0.013231156250000002,0.0013557499999999998,256.0,3616.0,14464.0,0.01233940625,1.0,1.182140044218092
Philosophers-COL-000050,5,5,15,250,250,800,0.0007242812499999999,6.646874999999999e-05,250.0,250.0,800.0,0.0006609999999999999,1.0,1.1962934947049924
PolyORBLF-COL-S04J06T06,81,65,254,618,3190,21570,0.015995062499999997,0.0021235625,618.0,3190.0,21570.0,0.015119937499999996,1.0,1.1983267126600226
PolyORBLF-COL-S04J04T06,81,65,254,554,2998,20754,0.015368562499999995,0.00210003125,554.0,2998.0,20754.0,0.014461124999999998,1.0,1.2079692105558866
PolyORBLF-COL-S04J04T10,81,65,254,870,5034,34774,0.025939406250000005,0.00329640625,870.0,5034.0,34774.0,0.024119562499999997,1.0,1.2121203483686742
PolyORBLF-COL-S04J04T08,81,65,254,712,4012,27744,0.0207321875,0.002636125,712.0,4012.0,27744.0,0.019268187500000002,1.0,1.212792459072759
PolyORBLF-COL-S04J06T08,81,65,254,792,4268,28832,0.021978500000000005,0.0026647187500000004,792.0,4268.0,28832.0,0.020224312500000004,1.0,1.2184947572383487
PolyORBLF-COL-S04J06T10,81,65,254,966,5354,36134,0.027525531250000002,0.0033088749999999998,966.0,5354.0,36134.0,0.025253843749999994,1.0,1.220978737147687
SafeBus-COL-50,20,14,68,5606,140251,1083354,1.5509153124999997,0.01588715625,5606.0,140251.0,1083354.0,1.2807368749999999,1.0,1.2233601603373838
AirplaneLD-COL-0050,20,15,56,369,408,1553,0.0012360312500000002,0.000153125,369.0,408.0,1553.0,0.0011334375,1.0,1.225613454645713
SafeBus-COL-80,20,14,68,13766,550801,4308564,8.4123440625,0.025701187500000007,13766.0,550801.0,4308564.0,6.88255,1.0,1.2260056592396713
FamilyReunion-COL-L00010M0001C001P001G001,104,66,198,1475,1234,3799,0.004522781250000001,0.00058896875,1486.0,1234.0,3799.0,0.0041164999999999995,0.9959558823529412,1.2417709218996724
SafeBus-COL-10,20,14,68,326,1651,11474,0.0068284999999999995,0.002378031250000001,326.0,1651.0,11474.0,0.007412656250000002,1.0,1.242001644147467
SharedMemory-COL-000010,6,5,16,141,220,840,0.0007657500000000003,8.4e-05,141.0,220.0,840.0,0.0006770312499999997,1.0,1.2551119316870538
CSRepetitions-COL-04,6,5,15,117,176,624,0.0005888124999999999,7.465625e-05,117.0,176.0,624.0,0.0005259375000000001,1.0,1.261497326203208
DotAndBoxes-COL-5,8,8,44,356,10424,121568,0.096816125,0.02785090625,360.0,10472.0,121760.0,0.09855596875,0.9951994091580503,1.2649363892534413
BridgeAndVehicles-COL-V80P50N20,15,11,56,198,3728,28830,0.0144498125,0.038027281249999996,198.0,3728.0,28830.0,0.04085734375,1.0,1.284398077151063
SafeBus-COL-20,20,14,68,1046,10501,77544,0.0685175625,0.006113812500000001,1046.0,10501.0,77544.0,0.05800384374999999,1.0,1.2866625757021493
BridgeAndVehicles-COL-V80P20N20,15,11,56,198,3728,28830,0.0145741875,0.038810250000000004,198.0,3728.0,28830.0,0.040986625,1.0,1.3024843470278415
SafeBus-COL-15,20,14,68,636,4801,34684,0.02744809375,0.00445884375,636.0,4801.0,34684.0,0.02414275,1.0,1.3215949922854684
Referendum-COL-0020,4,3,6,61,41,101,0.00013431249999999994,2.7468749999999997e-05,61.0,41.0,101.0,0.00012165624999999999,1.0,1.3298227587978417
Philosophers-COL-000020,5,5,15,100,100,320,0.00031809374999999996,6.815624999999998e-05,100.0,100.0,320.0,0.00028418750000000004,1.0,1.35913789311634
PermAdmissibility-COL-01,40,16,83,168,592,3456,0.002284593750000001,0.00199653125,208.0,1024.0,5984.0,0.0031140312499999996,0.6168831168831169,1.3747854970948032
AirplaneLD-COL-0020,20,15,56,159,168,638,0.00055265625,0.00014818750000000002,159.0,168.0,638.0,0.00050840625,1.0,1.3785112791197984
CSRepetitions-COL-03,6,5,15,58,81,279,0.00029443750000000005,6.840625e-05,58.0,81.0,279.0,0.00025703124999999994,1.0,1.411671732522797
TokenRing-COL-010,1,2,4,121,1111,4444,0.0042204374999999985,0.0013447187500000002,121.0,1111.0,4444.0,0.003927375,1.0,1.417016773290047
Referendum-COL-0015,4,3,6,46,31,76,0.00010940625000000002,3.399999999999999e-05,46.0,31.0,76.0,9.903125000000003e-05,1.0,1.4480908804039125
