,name,Bplaces,Btransitions,Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,trunk-Aplaces,trunk-Atransitions,trunk-Aarcs,trunk-unfoldingtime,size_ratio,unfolding_ratio
QuasiCertifProtocol-COL-10,QuasiCertifProtocol-COL-10,30.0,26.0,77.0,550.0,176.0,1287.0,0.0020222187499999997,0.004907593749999999,550.0,176.0,1287.0,0.00120796875,1.0,5.736748156771438
LamportFastMutEx-COL-6,LamportFastMutEx-COL-6,18.0,17.0,68.0,176.0,354.0,1536.0,0.0014713749999999998,0.006997531249999999,217.0,420.0,1834.0,0.0013737812500000002,0.8320251177394035,6.164668683605923
Peterson-COL-2,Peterson-COL-2,11.0,14.0,42.0,108.0,138.0,432.0,0.0007382187499999999,0.00282409375,108.0,138.0,432.0,0.00053203125,1.0,6.695682819383261
LamportFastMutEx-COL-7,LamportFastMutEx-COL-7,18.0,17.0,68.0,219.0,462.0,2016.0,0.00188365625,0.011374625000000001,264.0,536.0,2352.0,0.0017458437500000002,0.85125,7.594196931999211
QuasiCertifProtocol-COL-18,QuasiCertifProtocol-COL-18,30.0,26.0,77.0,1398.0,296.0,3119.0,0.0030917500000000007,0.02470596875,1398.0,296.0,3119.0,0.00304065625,1.0,9.142012928952427
Peterson-COL-3,Peterson-COL-3,11.0,14.0,42.0,256.0,356.0,1112.0,0.0016569687500000005,0.00981571875,256.0,356.0,1112.0,0.0012479375000000001,1.0,9.193318976310914
LamportFastMutEx-COL-8,LamportFastMutEx-COL-8,18.0,17.0,68.0,266.0,584.0,2560.0,0.0023073749999999995,0.017695000000000002,315.0,666.0,2934.0,0.0021745625000000003,0.8664627930682977,9.198344494582244
QuasiCertifProtocol-COL-22,QuasiCertifProtocol-COL-22,30.0,26.0,77.0,1966.0,356.0,4323.0,0.004270124999999999,0.044116687499999994,1966.0,356.0,4323.0,0.00428196875,1.0,11.300132094611852
Peterson-COL-4,Peterson-COL-4,11.0,14.0,42.0,500.0,730.0,2280.0,0.00329390625,0.026828218749999997,500.0,730.0,2280.0,0.002513125,1.0,11.985923899527478
TokenRing-COL-005,TokenRing-COL-005,1.0,2.0,4.0,36.0,156.0,624.0,0.0007759687500000001,0.007750781250000002,36.0,156.0,624.0,0.000599375,1.0,14.226068821689262
QuasiCertifProtocol-COL-28,QuasiCertifProtocol-COL-28,30.0,26.0,77.0,2998.0,446.0,6489.0,0.00638240625,0.09252784375000003,2998.0,446.0,6489.0,0.006743781249999998,1.0,14.666882915278437
DotAndBoxes-COL-2,DotAndBoxes-COL-2,8.0,8.0,44.0,54.0,64.0,576.0,0.0007129687500000001,0.022549625000000004,66.0,164.0,1616.0,0.0014866562500000006,0.5130434782608696,15.647594223614233
