,name,Btransitions,Barcs,pw-Aplaces,pw-Atransitions,pw-Aarcs,pw-unfoldingtime,pw-colorfixedpoint,cfp-Bplaces,vd-Aplaces,vd-Atransitions,vd-Aarcs,vd-unfoldingtime,vd-colorfixedpoint,size_ratio,unfolding_ratio
DrinkVendingMachine-COL-02,DrinkVendingMachine-COL-02,7.0,28.0,24.0,72.0,440.0,0.00033384375,0.0008339374999999998,6.0,24,72,440,0.00035221875000000005,0.0002252499999999999,1.0,0.49450078942438924
GlobalResAllocation-COL-03,GlobalResAllocation-COL-03,7.0,29.0,33.0,4791.0,38652.0,0.025144062499999998,0.026438593749999992,5.0,33,4791,38652,0.025597156250000006,0.00024396874999999996,1.0,0.5009653801998615
CSRepetitions-COL-05,CSRepetitions-COL-05,5.0,15.0,206.0,325.0,1175.0,0.0009953437500000001,0.0012045312500000003,6.0,206,325,1175,0.00105771875,6.656249999999998e-05,1.0,0.5110659696573668
GlobalResAllocation-COL-05,GlobalResAllocation-COL-05,7.0,29.0,75.0,56105.0,492760.0,0.316095,0.31662356249999996,5.0,75,56105,492760,0.3248551875,0.00024246875,1.0,0.5138108402659674
Peterson-COL-2,Peterson-COL-2,14.0,42.0,102.0,126.0,384.0,0.0005029374999999999,0.006497062500000003,11.0,108,138,432,0.00075359375,0.00288053125,1.0789473684210527,0.5191607142857141
GlobalResAllocation-COL-07,GlobalResAllocation-COL-07,7.0,29.0,133.0,291067.0,2652580.0,1.7628115624999998,1.6694984374999995,5.0,133,291067,2652580,1.7875375,0.0002351875,1.0,0.5208657398370194
SharedMemory-COL-000020,SharedMemory-COL-000020,5.0,16.0,461.0,820.0,3200.0,0.00245496875,0.002971218750000001,6.0,481,840,3280,0.0027633437500000006,7.968750000000002e-05,1.0312256049960968,0.5239463711860307
GlobalResAllocation-COL-06,GlobalResAllocation-COL-06,7.0,29.0,102.0,136662.0,1226388.0,0.80854365625,0.7736512499999999,5.0,102,136662,1226388,0.8300385937500002,0.00024871875,1.0,0.5247692994208186
BridgeAndVehicles-COL-V50P50N20,BridgeAndVehicles-COL-V50P50N20,11.0,56.0,138.0,2348.0,18090.0,0.00849403125,3.0174653124999993,15.0,138,2348,18090,0.0125628125,1.5852137500000005,1.0,0.5280231427431916
GlobalResAllocation-COL-09,GlobalResAllocation-COL-09,7.0,29.0,207.0,1003437.0,9334944.0,5.960734687499999,5.948289375,5.0,207,1003437,9334944,6.342013750000001,0.00023615625000000004,1.0,0.5325583249278116
GlobalResAllocation-COL-10,GlobalResAllocation-COL-10,7.0,29.0,250.0,1688410.0,15821020.0,10.139790624999998,9.9787715625,5.0,250,1688410,15821020,10.715821250000003,0.00023940624999999998,1.0,0.5326454523130919
GlobalResAllocation-COL-11,GlobalResAllocation-COL-11,7.0,29.0,297.0,2705087.0,25497868.0,16.523465625,15.785628125000004,5.0,297,2705087,25497868,17.250212500000007,0.00023799999999999998,1.0,0.5339193551351159
PermAdmissibility-COL-20,PermAdmissibility-COL-20,16.0,83.0,168.0,592.0,3456.0,0.00197553125,0.007624000000000001,40.0,168,592,3456,0.00233475,0.0028980625000000005,1.0,0.5451112521770268
BridgeAndVehicles-COL-V50P50N10,BridgeAndVehicles-COL-V50P50N10,11.0,56.0,128.0,1328.0,10010.0,0.0048873125,1.5053087500000002,15.0,128,1328,10010,0.005119656249999999,0.82657096875,1.0,0.5507169867885945
BridgeAndVehicles-COL-V50P20N20,BridgeAndVehicles-COL-V50P20N20,11.0,56.0,138.0,2348.0,18090.0,0.00847684375,2.9001146875,15.0,138,2348,18090,0.009091156250000001,1.6019631250000002,1.0,0.5538949914213741
BridgeAndVehicles-COL-V50P20N10,BridgeAndVehicles-COL-V50P20N10,11.0,56.0,128.0,1328.0,10010.0,0.00484528125,1.4916471875000001,15.0,128,1328,10010,0.00513565625,0.82830359375,1.0,0.5569284626578579
DotAndBoxes-COL-4,DotAndBoxes-COL-4,8.0,44.0,206.0,3104.0,35264.0,0.0273991875,0.19450253125000003,8.0,230,3920,45056,0.03801643750000001,0.08592334374999999,1.2537764350453173,0.5585345708368921
DotAndBoxes-COL-2,DotAndBoxes-COL-2,8.0,44.0,37.0,34.0,296.0,0.00032159374999999994,0.007153343750000001,8.0,54,64,576,0.00072246875,0.0035841874999999997,1.6619718309859155,0.5761461216230904
PolyORBLF-COL-S06J06T04,PolyORBLF-COL-S06J06T04,65.0,254.0,506.0,7154.0,59824.0,0.03946984375,0.034131906249999996,81.0,506,7154,59824,0.041197468749999994,0.0015454999999999998,1.0,0.5807330498255815
AirplaneLD-COL-0200,AirplaneLD-COL-0200,15.0,56.0,1419.0,1608.0,6128.0,0.004570281249999999,0.003562343749999999,20.0,1419,1608,6128,0.004598562499999999,0.00014446874999999998,1.0,0.5832103718049216
Philosophers-COL-000010,Philosophers-COL-000010,5.0,15.0,50.0,50.0,160.0,0.00018868750000000005,0.00021871874999999995,5.0,50,50,160,0.0001701875,6.778125000000002e-05,1.0,0.5841067730306053
CSRepetitions-COL-04,CSRepetitions-COL-04,5.0,15.0,117.0,176.0,624.0,0.00055653125,0.0005567812500000001,6.0,117,176,624,0.00058921875,7.165625000000001e-05,1.0,0.5936114073990905
PolyORBLF-COL-S06J04T04,PolyORBLF-COL-S06J04T04,65.0,254.0,454.0,6994.0,59152.0,0.03899321875000001,0.03167878125,81.0,454,6994,59152,0.04064428125,0.001552875,1.0,0.5970845065938418
AirplaneLD-COL-0100,AirplaneLD-COL-0100,15.0,56.0,719.0,808.0,3078.0,0.002326437500000001,0.00184115625,20.0,719,808,3078,0.0023366875000000002,0.00016240624999999995,1.0,0.5996490780801271
AirplaneLD-COL-0500,AirplaneLD-COL-0500,15.0,56.0,3519.0,4008.0,15278.0,0.011471156249999998,0.0086246875,20.0,3519,4008,15278,0.011933437499999996,0.00015743749999999997,1.0,0.6016604801676962
PolyORBLF-COL-S06J04T06,PolyORBLF-COL-S06J04T06,65.0,254.0,632.0,10500.0,88770.0,0.058117218750000005,0.043399375000000004,81.0,632,10500,88770,0.0607979375,0.0021365937500000005,1.0,0.6199432912907403
PolyORBLF-COL-S06J06T06,PolyORBLF-COL-S06J06T06,65.0,254.0,700.0,10740.0,89778.0,0.05953524999999999,0.0444451875,81.0,700,10740,89778,0.06256640625,0.0021195,1.0,0.6220968848106645
SharedMemory-COL-000010,SharedMemory-COL-000010,5.0,16.0,131.0,210.0,800.0,0.00068753125,0.0006515312499999999,6.0,141,220,840,0.00076403125,7.6625e-05,1.0586510263929618,0.6277946324387398
AirplaneLD-COL-0050,AirplaneLD-COL-0050,15.0,56.0,369.0,408.0,1553.0,0.00120915625,0.0009840312499999999,20.0,369,408,1553,0.0012282812499999998,0.00015590624999999998,1.0,0.6311304892992504
PolyORBLF-COL-S06J06T08,PolyORBLF-COL-S06J06T08,65.0,254.0,894.0,14334.0,119772.0,0.07881434375000002,0.0549780625,81.0,894,14334,119772,0.08245524999999998,0.0026362187499999997,1.0,0.6359962507214416
PolyORBLF-COL-S06J04T08,PolyORBLF-COL-S06J04T08,65.0,254.0,810.0,14014.0,118428.0,0.07786228125,0.05481809374999999,81.0,810,14014,118428,0.08213693749999998,0.0026427500000000006,1.0,0.6389768456714113
FamilyReunion-COL-L00010M0001C001P001G001,FamilyReunion-COL-L00010M0001C001P001G001,66.0,198.0,1475.0,1234.0,3799.0,0.00446165625,0.003753656249999999,104.0,1475,1234,3799,0.0046481874999999995,0.00060853125,1.0,0.6398683860169653
AirplaneLD-COL-1000,AirplaneLD-COL-1000,15.0,56.0,7019.0,8008.0,30528.0,0.0242558125,0.017183906249999995,20.0,7019,8008,30528,0.027204624999999996,0.00015350000000000002,1.0,0.6601908947560123
CSRepetitions-COL-03,CSRepetitions-COL-03,5.0,15.0,58.0,81.0,279.0,0.00027775,0.0002636875,6.0,58,81,279,0.00029987500000000007,6.884375000000002e-05,1.0,0.6809996536996422
AirplaneLD-COL-2000,AirplaneLD-COL-2000,15.0,56.0,14019.0,16008.0,61028.0,0.05219781250000001,0.034653531249999994,20.0,14019,16008,61028,0.05962634375,0.00015693749999999999,1.0,0.6883403142510388
Peterson-COL-6,Peterson-COL-6,14.0,42.0,1330.0,2030.0,6272.0,0.007301625,0.06741290625,11.0,1372,2114,6608,0.00825425,0.0435626875,1.0375,0.6935322571537915
PolyORBLF-COL-S04J06T06,PolyORBLF-COL-S04J06T06,65.0,254.0,618.0,3190.0,21570.0,0.015236687499999997,0.011074593749999999,81.0,618,3190,21570,0.016222406249999998,0.0021070625,1.0,0.6966391554953258
